authors,likes,quotes,tags
haruki murakami,7352,"“And once the storm is over, you won’t remember how you made it through, how you managed to survive. You won’t even be sure, whether the storm is really over. But one thing is certain. When you come out of the storm, you won’t be the same person who walked in. That’s what this storm’s all about.”","['adversity', 'inspirational', 'life-lessons', 'problems', 'trials']"
"John Milton,",7271,"“The mind is its own place, and in itself can make a heaven of hell, a hell of heaven..”","['inspirational', 'religion']"
"Paulo Coelho,",7068,“Waiting is painful. Forgetting is painful. But not knowing which to do is the worst kind of suffering.”,['inspirational']
Lloyd Alexander,6992,“Fantasy is hardly an escape from reality. It's a way of understanding it.”,"['fantasy', 'inspirational', 'writing']"
"Maya Angelou,",6835,"“I can be changed by what happens to me. But I refuse to be reduced by it.(Popular misquote of ""You may not control all the events that happen to you, but you can decide not to be reduced by them."")”","['be-yourself', 'inspirational', 'misquote', 'self-determination']"
Ralph Waldo Emerson,6812,"“Do not go where the path may lead, go instead where there is no path and leave a trail.”","['inspirational', 'life']"
"J.R.R. Tolkien,",6655,"“The world is indeed full of peril, and in it there are many dark places; but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater.”","['hope', 'inspirational', 'love']"
Martin Luther King Jr.,6576,"“If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.”",['inspirational']
"Isaac Asimov,",6468,“Never let your sense of morals prevent you from doing what is right.”,"['humor', 'inspirational', 'philosophy', 'wisdom']"
maya angelou,6434,“I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass.”,"['humor', 'inspirational', 'life']"
"William Shakespeare,",6394,“Hell is empty and all the devils are here.”,['inspirational']
"Arthur Conan Doyle,",6388,"“When you have eliminated all which is impossible, then whatever remains, however improbable, must be the truth.”",['inspirational']
Oprah Winfrey,6337,“Turn your wounds into wisdom.”,"['experience', 'inspirational', 'pain', 'wisdom', 'wounds']"
Theodore Roosevelt,5981,"“It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better. The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood; who strives valiantly; who errs, who comes short again and again, because there is no effort without error and shortcoming; but who does actually strive to do the deeds; who knows great enthusiasms, the great devotions; who spends himself in a worthy cause; who at the best knows in the end the triumph of high achievement, and who at the worst, if he fails, at least fails while daring greatly, so that his place shall never be with those cold and timid souls who neither know victory nor defeat.”","['inspirational', 'politics', 'presidential']"
Mahatma Gandhi,5916,“Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.”,"['god', 'heart', 'humanity', 'inspirational', 'prayer', 'religion', 'souls', 'weakness']"
"George Orwell,",5870,“War is peace. Freedom is slavery. Ignorance is strength.”,"['freedom', 'ignorance', 'inspirational', 'war']"
"Haruki Murakami,",5867,"“If you remember me, then I don't care if everyone else forgets.”","['inspirational', 'love']"
"Paul McCartney,",5858,"“And, in the endThe love you takeis equal to the love you make.”","['beatles', 'inspirational', 'live', 'love', 'music']"
"Suzanne Collins,",5856,"“What I need is the dandelion in the spring. The bright yellow that means rebirth instead of destruction. The promise that life can go on, no matter how bad our losses. That it can be good again.”","['inspirational', 'love']"
"Dale Carnegie,",5754,“It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it.”,"['attitude', 'contentment', 'happiness', 'inspirational', 'life']"
Eleanor Roosevelt,5742,“The future belongs to those who believe in the beauty of their dreams.”,"['dreams', 'future', 'inspirational', 'misattributed-eleanor-roosevelt']"
Mother Teresa,5678,"“I am not sure exactly what heaven will be like, but I know that when we die and it comes time for God to judge us, he will not ask, 'How many good things have you done in your life?' rather he will ask, 'How much love did you put into what you did?”","['inspirational', 'love']"
Agatha Christie,5671,"“I like living. I have sometimes been wildly, despairingly, acutely miserable, racked with sorrow; but through it all I still know quite certainly that just to be alive is a grand thing.”",['inspirational']
Maya Angelou,5623,"“I don't trust people who don't love themselves and tell me, 'I love you.' ... There is an African saying which is: Be careful when a naked person offers you a shirt.”","['1997', 'annie-clark-tanner-lecture', 'inspirational', 'love', 'trust']"
"Andrew  Boyd,",5512,"“We’re all seeking that special person who is right for us. But if you’ve been through enough relationships, you begin to suspect there’s no right person, just different flavors of wrong. Why is this? Because you yourself are wrong in some way, and you seek out partners who are wrong in some complementary way. But it takes a lot of living to grow fully into your own wrongness. And it isn’t until you finally run up against your deepest demons, your unsolvable problems—the ones that make you truly who you are—that we’re ready to find a lifelong mate. Only then do you finally know what you’re looking for. You’re looking for the wrong person. But not just any wrong person: it's got to be the right wrong person—someone you lovingly gaze upon and think, “This is the problem I want to have.”I will find that special person who is wrong for me in just the right way.”","['being-loved', 'completion', 'inspirational', 'love', 'relationships']"
Robert Louis Stevenson,5295,“Don't judge each day by the harvest you reap but by the seeds that you plant.”,"['day', 'inspirational', 'judge', 'plant', 'reap', 'seed', 'seeds', 'sow']"
Bob Marley,5288,“None but ourselves can free our minds.”,"['bob-marley', 'inspirational', 'music', 'reggae']"
"Martin Luther King, Jr.",5263,"“But I know, somehow, that only when it is dark enough can you see the stars.”","['hope', 'inspirational']"
Mark Twain,5190,"“I do not fear death. I had been dead for billions and billions of years before I was born, and had not suffered the slightest inconvenience from it.”","['death', 'inspirational']"
Albert Schweitzer,5096,"“Sometimes our light goes out, but is blown again into instant flame by an encounter with another human being.”","['inspirational', 'life', 'spiritual', 'uplifting']"
"Lao Tzu,",4888,"“Simplicity, patience, compassion.These three are your greatest treasures.Simple in actions and thoughts, you return to the source of being.Patient with both friends and enemies,you accord with the way things are.Compassionate toward yourself,you reconcile all beings in the world.”","['inspirational', 'life', 'philosophy']"
"Rabindranath Tagore,",4845,"“Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.”","['aspiration', 'assurance', 'beauty', 'clouds', 'color', 'conviction', 'inspirational', 'maturity', 'sunset']"
Max Lucado,4842,“A woman's heart should be so hidden in God that a man has to seek Him just to find her.”,"['inspirational', 'love']"
Walt Disney,4835,“It's kind of fun to do the impossible.”,['inspirational']
"Steve Maraboli,",4820,"“The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.”","['forgiveness', 'inspirational', 'letting-go', 'life', 'motivational', 'moving-forward', 'truth']"
"A.A. Milne,",4778,"“People say nothing is impossible, but I do nothing every day.”","['humor', 'idleness', 'inspirational']"
Taylor Swift,4749,"“When I was a little girl I used to read fairy tales. In fairy tales you meet Prince Charming and he's everything you ever wanted. In fairy tales the bad guy is very easy to spot. The bad guy is always wearing a black cape so you always know who he is. Then you grow up and you realize that Prince Charming is not as easy to find as you thought. You realize the bad guy is not wearing a black cape and he's not easy to spot; he's really funny, and he makes you laugh, and he has perfect hair.”","['fairy-tales', 'inspirational', 'prince-charming', 'taylor-swift']"
Leonardo da Vinci,4743,"“A painter should begin every canvas with a wash of black, because all things in nature are dark except where exposed by the light.”","['art', 'inspirational']"
"Lance Armstrong Sally Jenkins,",4708,“Pain is temporary. Quitting lasts forever.”,"['cancer', 'failure', 'inspiration', 'inspirational', 'pain', 'quitting']"
Kalu Ndukwe Kalu,4663,"“The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.”","['hope', 'inspiration', 'inspirational', 'life', 'truth']"
"Steve Maraboli,",4611,"“Dare to BeWhen a new day begins, dare to smile gratefully.When there is darkness, dare to be the first to shine a light.When there is injustice, dare to be the first to condemn it.When something seems difficult, dare to do it anyway.When life seems to beat you down, dare to fight back.When there seems to be no hope, dare to find some.When you’re feeling tired, dare to keep going.When times are tough, dare to be tougher.When love hurts you, dare to love again.When someone is hurting, dare to help them heal.When another is lost, dare to help them find the way.When a friend falls, dare to be the first to extend a hand.When you cross paths with another, dare to make them smile.When you feel great, dare to help someone else feel great too.When the day has ended, dare to feel as you’ve done your best.Dare to be the best you can –At all times, Dare to be!”","['compassion', 'dare-to-be', 'gratitude', 'inspirational', 'life', 'motivational', 'seize-the-day', 'smile', 'success']"
Jim MORRISON,4604,"“The most important kind of freedom is to be what you really are. You trade in your reality for a role. You trade in your sense for an act. You give up your ability to feel, and in exchange, put on a mask. There can't be any large-scale revolution until there's a personal revolution, on an individual level. It's got to happen inside first.”","['freedom', 'individuality', 'inspirational', 'mask', 'personality', 'revolution', 'truth']"
"Santosh Kalwar,",4588,"“I was smiling yesterday,I am smiling today and I will smile tomorrow.Simply because life is too short to cry for anything.”","['cry', 'inspirational', 'joke', 'love', 'romance', 'smile']"
"St. Francis Of Assisi,",4522,“All the darkness in the world cannot extinguish the light of a single candle.”,['inspirational']
C. JoyBell C.,4520,“Don't be afraid of your fears. They're not there to scare you. They're there to let you know that something is worth it.”,"['belief', 'bravery', 'courage', 'fear', 'fears', 'inspirational', 'inspirational-life', 'inspirational-quotes', 'strength']"
"Cornelia Funke,",4506,"“Stories never really end...even if the books like to pretend they do. Stories always go on. They don't end on the last page, any more than they begin on the first page.”",['inspirational']
John F. Kennedy,4505,"“The Chinese use two brush strokes to write the word 'crisis.' One brush stroke stands for danger; the other for opportunity. In a crisis, be aware of the danger--but recognize the opportunity.”","['chinese', 'crisis', 'danger', 'inspirational', 'opportunity']"
Albert Einstein,4472,“You never fail until you stop trying.”,['inspirational']
C. JoyBell C.,4461,"“If you want to forget something or someone, never hate it, or never hate him/her. Everything and everyone that you hate is engraved upon your heart; if you want to let go of something, if you want to forget, you cannot hate.”","['forgetting', 'hate', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'letting-go', 'life', 'life-and-living', 'living', 'strength']"
Alfred Lord Tennyson,4445,"“HopeSmiles from the threshold of the year to come, Whispering 'it will be happier'...”","['happiness', 'hope', 'inspirational', 'new-year']"
Louis L'Amour,4429,"“Start writing, no matter what. The water does not flow until the faucet is turned on.”","['inspirational', 'writing']"
"Jonathan Safran Foer,",4401,“Why didn't I learn to treat everything like it was the last time. My greatest regret was how much I believed in the future.”,"['future', 'inspirational', 'life']"
"Dr. Seuss,",4388,"“You're off to Great Places!Today is your day!Your mountain is waiting,So... get on your way!”",['inspirational']
H. Jackson Brown Jr.,4278,"“Don't say you don't have enough time. You have exactly the same number of hours per day that were given to Helen Keller, Pasteur, Michelangelo, Mother Teresa, Leonardo da Vinci, Thomas Jefferson, and Albert Einstein.”","['inspirational', 'life']"
"Bukkyo Dendo Kyokai,",4260,"“The secret of health for both mind and body is not to mourn for the past, nor to worry about the future, but to live the present moment wisely and earnestly.”",['inspirational']
"William Blake,",4238,"“To see a World in a Grain of Sand And a Heaven in a Wild Flower, Hold Infinity in the palm of your hand And Eternity in an hour.”","['inspirational', 'wonder']"
"Pablo Neruda,",4199,"“Well, nowIf little by little you stop loving meI shall stop loving youLittle by littleIf suddenly you forget meDo not look for meFor I shall already have forgotten youIf you think it long and mad the wind of banners that passes through my lifeAnd you decide to leave me at the shore of the heart where I have rootsRememberThat on that day, at that hour, I shall lift my armsAnd my roots will set off to seek another land”","['forgetting', 'heartbreak', 'inspirational', 'living', 'love', 'moving-on']"
Robert Marley,4176,"“One love, one heart, one destiny.”","['bob-marley', 'compassion', 'destiny', 'heart', 'humanity', 'inspirational', 'love']"
Leonardo da Vinci,4174,"“Once you have tasted flight, you will forever walk the earth with your eyes turned skyward, for there you have been, and there you will always long to return.”","['flight', 'flying', 'inspirational']"
"J. K. Rowling,",4158,"“The thing about growing up with Fred and George,"" said Ginny thoughtfully, ""is that you sort of start thinking anything's possible if you've got enough nerve.”",['inspirational']
C. JoyBell C.,4156,"“We have to allow ourselves to be loved by the people who really love us, the people who really matter. Too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! It's time to put an end to this. It's time for us to let ourselves be loved.”","['growing', 'humanity', 'inspirational', 'inspirational-life', 'inspirational-love', 'inspirational-quotes', 'learning', 'life-and-living', 'life-lessons', 'love', 'people', 'real-love', 'reality', 'reality-of-life', 'those-who-love-us', 'to-be-loved', 'true-love', 'what-matters']"
"Stephenie Meyer,",4122,"“It's not the face, but the expressions on it. It's not the voice, but what you say. It's not how you look in that body, but the thing you do with it. You are beautiful.”","['inspirational', 'love']"
J.K. Rowling,4119,"“Is 'fat' really the worst thing a human being can be? Is 'fat' worse than 'vindictive', 'jealous', 'shallow', 'vain', 'boring' or 'cruel'? Not to me.”",['inspirational']
"Dr. Seuss,",4100,"“So be sure when you step, Step with care and great tact. And remember that life's A Great Balancing Act. And will you succeed? Yes! You will, indeed! (98 and ¾ percent guaranteed) Kid, you'll move mountains.”","['humor', 'inspirational', 'success']"
"Bob Marley,",4082,"“If she's amazing, she won't be easy. If she's easy, she won't be amazing. If she's worth it, you wont give up. If you give up, you're not worthy. ... Truth is, everybody is going to hurt you; you just gotta find the ones worth suffering for.”","['inspirational', 'love']"
"Kathryn Stockett,",3997,“You is kind. You is smart. You is important.”,['inspirational']
Rumi,3988,"“Dance, when you're broken open. Dance, if you've torn the bandage off. Dance in the middle of the fighting. Dance in your blood. Dance when you're perfectly free.”","['dance', 'inspirational']"
