authors,likes,quotes,tags
"Clive Barker,",3977,“Any fool can be happy. It takes a man with real heart to make beauty out of the stuff that makes us weep.”,"['art', 'inspirational', 'love', 'redemption', 'sadness']"
Taylor Swift,3957,"“To me, Fearless is not the absense of fear. It's not being completely unafraid. To me, Fearless is having fears. Fearless is having doubts. Lots of them. To me, Fearless is living in spite of those things that scare you to death.”","['fearless', 'inspirational', 'love']"
"George Bernard Shaw,",3926,"“You see things; you say, 'Why?' But I dream things that never were; and I say 'Why not?”",['inspirational']
"Christopher Paolini,",3884,"“Live in the present, remember the past, and fear not the future, for it doesn't exist and never shall. There is only now.”",['inspirational']
Rumi,3857,"“If you are irritated by every rub, how will your mirror be polished?”",['inspirational']
"Antoine de Saint-Exupéry,",3822,"“What makes the desert beautiful,' said the little prince, 'is that somewhere it hides a well...”",['inspirational']
"J.K. Rowling,",3820,"“Understanding is the first step to acceptance, and only with acceptance can there be recovery.”","['acceptance', 'inspiration', 'inspirational', 'smart', 'understanding', 'wise']"
Oriah Mountain Dreamer,3811,"“It doesn't interest me what you do for a living. I want to know what you ache for, and if you dare to dream of meeting your heart's longing.It doesn't interest me how old you are. I want to know if you will risk looking like a fool for love, for your dream, for the adventure of being alive. It doesn't interest me what planets are squaring your moon. I want to know if you have touched the center of your own sorrow, if you have been opened by life's betrayals or have become shriveled and closed from fear of further pain!I want to know if you can sit with pain, mine or your own, without moving to hide it or fade it, or fix it. I want to know if you can be with joy, mine or your own, if you can dance with wildness and let the ecstasy fill you to the tips of your fingers and toes without cautioning us to be careful, to be realistic, to remember the limitations of being human. It doesn't interest me if the story you are telling me is true. I want to know if you can disappoint another to be true to yourself; if you can bear the accusation of betrayal and not betray your own soul; if you can be faithlessand therefore trustworthy. I want to know if you can see beauty even when it's not pretty, every day,and if you can source your own life from its presence. I want to know if you can live with failure, yours and mine, and still stand on the edge of the lake and shout to the silver of the full moon, “Yes!”It doesn't interest me to know where you live or how much money you have. I want to know if you can get up, after the night of grief and despair, weary and bruised to the bone, and do what needs to be done to feed the children. It doesn't interest me who you know or how you came to be here. I want to know if you will stand in the center of the fire with me and not shrink back. It doesn't interest me where or what or with whom you have studied. I want to know what sustains you, from the inside, when all else falls away. I want to know if you can be alone with yourself and if you truly like the company you keep in the empty moments.”",['inspirational']
Chico Xavier,3794,“‎Though nobody can go back and make a new beginning... Anyone can start over and make a new ending.”,"['inspirational', 'life-lessons']"
Rumi,3776,"“You were born with wings, why prefer to crawl through life?”",['inspirational']
Stephen Hawking,3723,“We are just an advanced breed of monkeys on a minor planet of a very average star. But we can understand the Universe. That makes us something very special.”,"['inspirational', 'science']"
"Lilith Saintcrow,",3644,“Better to be strong than pretty and useless.”,"['girls', 'inspirational', 'pretty', 'strength', 'women']"
"J.K. Rowling,",3641,"“It was, he thought, the difference between being dragged into the arena to face a battle to the death and walking into the arena with your head held high. Some people, perhaps, would say that there was little to choose between the two ways, but Dumbledore knew - and so do I, thought Harry, with a rush of fierce pride, and so did my parents - that there was all the difference in the world.”",['inspirational']
Voltaire,3639,"“‎Life is a shipwreck, but we must not forget to sing in the lifeboats.”",['inspirational']
"Antoine de Saint-Exupéry,",3619,“It is the time you have wasted for your rose that makes your rose so important.”,"['caring', 'inspirational', 'love', 'roses', 'time']"
John A. Shedd,3618,"“A ship is safe in harbor, but that's not what ships are for.”","['courage', 'inspirational', 'misattributed-grace-hopper', 'misattributed-william-g-t-shedd', 'risk']"
"Jon Krakauer,",3615,“Happiness [is] only real when shared”,"['family', 'happiness', 'inspirational', 'love', 'marriage']"
"Chuck Palahniuk,",3575,"“The unreal is more powerful than the real. Because nothing is as perfect as you can imagine it. Because its only intangible ideas, concepts, beliefs, fantasies that last. Stone crumbles. Wood rots. People, well, they die. But things as fragile as a thought, a dream, a legend, they can go on and on. If you can change the way people think. The way they see themselves. The way they see the world. You can change the way people live their lives. That's the only lasting thing you can create.”","['believe', 'inspirational']"
Alice Walker,3570,“The most common way people give up their power is by thinking they don't have any.”,['inspirational']
Will Rogers,3536,"“Even if you are on the right track, you’ll get run over if you just sit there.”","['enterprise', 'humor', 'inertia', 'inspirational']"
"Roy T. Bennett,",3505,“Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”,"['attitude', 'choice', 'choices', 'giving', 'happiness', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'kindness', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'respect']"
Steve Maraboli,3493,"“Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.”","['destiny', 'happiness', 'history', 'inspirational', 'let-go', 'letting-go', 'life', 'motivational', 'moving-on', 'success']"
"Markus Zusak,",3479,“Maybe everyone can live beyond what they're capable of.”,"['hope', 'inspirational', 'life', 'philosophy']"
Eckhart Tolle,3402,“The past has no power over the present moment.”,"['education', 'inspirational', 'life', 'philosophy', 'truth', 'wisdom']"
"Sarah Dessen,",3370,"“You should never be surprised when someone treats you with respect, you should expect it.”",['inspirational']
George Carlin,3348,“May the forces of evil become confused on the way to your house.”,"['benediction', 'evil', 'goodwill', 'humor', 'inspirational', 'wishes']"
Bette Midler,3337,“The worst part of success is trying to find someone who is happy for you.”,"['friendship', 'happiness', 'humor', 'inspirational', 'jealousy', 'success']"
C. JoyBell C.,3315,"“I have come to accept the feeling of not knowing where I am going. And I have trained myself to love it. Because it is only when we are suspended in mid-air with no landing in sight, that we force our wings to unravel and alas begin our flight. And as we fly, we still may not know where we are going to. But the miracle is in the unfolding of the wings. You may not know where you're going, but you know that so long as you spread your wings, the winds will carry you.”","['belief', 'direction', 'faith', 'flight', 'flying', 'flying-spirit', 'hope', 'inspirational', 'inspirational-life', 'inspirational-quotes', 'life', 'life-and-living', 'living', 'trust', 'uplifting', 'winds', 'winds-of-life', 'wings']"
